"","orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","container_no","reference_no","is_extant","n_occs"
"1265","66821",66821,"txn","","species","Spalacotherium tricuspidens",NA,66821,"species","Spalacotherium tricuspidens",66820,"",14060,"extinct",4
"1266","106779",106779,"txn","","genus","Symmetrolestes",NA,106779,"genus","Symmetrolestes",39869,"",25235,"extinct",2
"1267","106780",106780,"txn","","species","Symmetrolestes parvus",NA,106780,"species","Symmetrolestes parvus",106779,"",25235,"extinct",1
"1268","156658",156658,"txn","","family","Zhangheotheriidae",NA,156658,"family","Zhangheotheriidae",137607,"",37389,"extinct",17
"1269","371285",371285,"txn","","genus","Anebodon",NA,371285,"genus","Anebodon",156658,"",65874,"extinct",2
"1270","371286",371286,"txn","","species","Anebodon luoi",NA,371286,"species","Anebodon luoi",371285,"",65874,"extinct",1
"1271","216646",216646,"txn","","genus","Kiyatherium",NA,216646,"genus","Kiyatherium",156658,"",39703,"extinct",5
"1272","216648",216648,"txn","","species","Kiyatherium cardiodens",NA,216648,"species","Kiyatherium cardiodens",216646,"",39703,"extinct",2
"1273","137609",137609,"txn","","genus","Maotherium",NA,137609,"genus","Maotherium",156658,"",37389,"extinct",4
"1274","156659",156659,"txn","","species","Maotherium asiaticus",NA,156659,"species","Maotherium asiaticus",137609,"",31038,"extinct",1
"1275","197845",197845,"txn","","species","Maotherium sinensis",NA,197845,"species","Maotherium sinensis",137609,"",37389,"extinct",1
"1276","492496",492496,"txn","","genus","Ningchengodon",NA,492496,"genus","Ningchengodon",156658,"",88669,"extinct",2
"1277","492497",492497,"txn","","species","Ningchengodon foxi",NA,492497,"species","Ningchengodon foxi",492496,"",88669,"extinct",1
"1278","65257",65257,"txn","","genus","Zhangheotherium",NA,65257,"genus","Zhangheotherium",156658,"",13126,"extinct",4
"1279","65258",65258,"txn","","species","Zhangheotherium quinquecuspidens",NA,65258,"species","Zhangheotherium quinquecuspidens",65257,"",13126,"extinct",2
"1280","312115",312115,"txn","","unranked clade","Zhangheotheria",NA,312115,"unranked clade","Zhangheotheria",64369,"",53957,"extinct",3
"1281","39867",39867,"txn","","family","Tinodontidae",NA,39867,"family","Tinodontidae",137608,"",7584,"extinct",12
"1282","52339",52339,"txn","","genus","Tinodon",NA,52339,"genus","Tinodon",39867,"",83601,"extinct",9
"1283","69253",69253,"txn","","species","Tinodon bellus",NA,69253,"species","Tinodon bellus",52339,"",83601,"extinct",1
"1284","69255",69255,"txn","","species","Tinodon lepidus",NA,69255,"species","Tinodon lepidus",52339,"",83599,"extinct",2
"1285","212336",212336,"txn","","species","Tinodon micron",NA,212336,"species","Tinodon micron",52339,"",39148,"extinct",1
"1286","216642",216642,"txn","","genus","Yermakia",NA,216642,"genus","Yermakia",39867,"",39702,"extinct",1
"1287","39754",203411,"txn","","family","Amphilestidae",NA,39754,"family","Amphilestidae",108999,"",4783,"extinct",26
"1288","39755",39755,"txn","","genus","Amphilestes",NA,39755,"genus","Amphilestes",39754,"",16226,"extinct",2
"1289","207502",203412,"txn","","species","Amphilestes broderipii",NA,207502,"species","Amphilestes broderipii",39755,"",29873,"extinct",1
